Manufacturer,Model,City Fuel Efficiency (MPG/MPGe),Highway Fuel Efficiency (MPG/MPGe),Primary Fuel Type,Vehicle Class,Environmental Rating (1–10)
Porsche,Taycan Perf Battery Plus,94,90,Electric,Compact Cars,10
Porsche,Taycan 4 Perf Battery Plus,89,85,Electric,Compact Cars,10
Porsche,Taycan 4 Cross Turismo,84,79,Electric,Midsize Cars,10
Porsche,Taycan 4S Performance Battery,90,85,Electric,Compact Cars,10
Porsche,Taycan 4S Perf Battery Plus,89,85,Electric,Compact Cars,10
Porsche,Taycan 4S Perf Battery Plus 19in All-Season (M+S),94,92,Electric,Compact Cars,10
Porsche,Taycan 4S Cross Turismo,82,77,Electric,Midsize Cars,10
Porsche,Taycan Turbo,88,83,Electric,Compact Cars,10
Porsche,Taycan Turbo 21in Aero-Design wheel (285/35),94,92,Electric,Compact Cars,10
Porsche,Taycan Turbo Cross Turismo,80,76,Electric,Midsize Cars,10
Porsche,Taycan Turbo S,80,78,Electric,Compact Cars,10
Porsche,Taycan Turbo S 21in Aero-Design wheel (285/35),90,90,Electric,Compact Cars,10
Porsche,Taycan Turbo S Cross Turismo,79,75,Electric,Midsize Cars,10
Porsche,Taycan Turbo GT,86,78,Electric,Compact Cars,10
Porsche,Taycan Turbo GT with Weissach Package,85,76,Electric,Compact Cars,10
Porsche,Taycan GTS,88,85,Electric,Compact Cars,10
Porsche,Taycan GTS Sport Turismo,84,80,Electric,Compact Cars,10
Rivian Automotive L,R1T Dual Standard (22in),92,77,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Dual Standard (22in),92,77,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Dual Standard (20in),85,72,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Dual Standard (20in),85,72,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Dual Max (20in),86,74,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Dual Max (20in),86,74,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Dual Max (22in),93,80,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Dual Max (22in),91,77,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T All-Terrain Dual Max (20in),82,73,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S All-Terrain Dual Max (20in),82,73,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Performance Dual Max (20in),86,74,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Performance Dual Max (20in),86,74,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Performance Dual Max (22in),93,80,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Performance Dual Max (22in),91,77,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T All-Terrain Performance Dual Max (20in),82,73,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S All-Terrain Performance  Dual Max (20in),82,73,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Dual Large Plus (22in),89,75,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Dual Large Plus (22in),89,75,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T All-Terrain Dual Large Plus (20in),76,67,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S All-Terrain Dual Large Plus (20in),76,67,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Performance Dual Large Plus (22in),89,75,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Performance Dual Large Plus (22in),89,75,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T All-Terrain Performance Dual Large Plus (20in),76,67,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S All-Terrain Performance Dual Large Plus (20in),76,67,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Dual Large Plus (20in),85,72,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Dual Large Plus (20in),85,72,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Performance Dual Large Plus (20in),85,72,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Performance Dual Large Plus (20in),85,72,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Tri Max (22in),81,70,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Tri Max (22in),81,70,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T All-Terrain Tri Max (20in),72,63,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S All-Terrain Tri Max (20in),72,63,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Dual Large (22in),94,77,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Dual Large (22in),94,77,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Dual Large (20in),85,72,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Dual Large (20in),85,72,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T All-Terrain Dual Large (20in),82,70,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S All-Terrain Dual Large (20in),82,70,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Performance Dual Large (22in),94,77,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Performance Dual Large (22in),94,77,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T Performance Dual Large (20in),85,72,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S Performance Dual Large (20in),85,72,Electric,Standard SUV 4WD,10
Rivian Automotive L,R1T All-Terrain Performance Dual Large (20in),82,70,Electric,Standard Pick-up Trucks 4WD,10
Rivian Automotive L,R1S All-Terrain Performance Dual Large (20in),82,70,Electric,Standard SUV 4WD,10
Rolls-Royce,Spectre (22'' Wheels),74,82,Electric,Compact Cars,10
Rolls-Royce,Spectre (23'' Wheels),67,75,Electric,Compact Cars,10
Rolls-Royce,Black Badge Spectre (22'' Wheels),70,80,Electric,Compact Cars,10
Rolls-Royce,Black Badge Spectre (23'' Wheels),67,74,Electric,Compact Cars,10
Subaru,SOLTERRA AWD,114,94,Electric,Small SUV 4WD,10
Subaru,SOLTERRA LIMITED/TOURING AWD,111,93,Electric,Small SUV 4WD,10
Tesla,Cybertruck Long Range,93,72,Electric,Standard Pick-up Trucks 2WD,10
Tesla,"Cybertruck Long Range (20"" Cyber wheels)",89,67,Electric,Standard Pick-up Trucks 2WD,10
Tesla,Cybertruck AWD,85,72,Electric,Standard Pick-up Trucks 4WD,10
Tesla,Model 3 Long Range RWD,145,128,Electric,Midsize Cars,10
Tesla,"Model 3 Long Range RWD-I (19"" Wheels)",140,123,Electric,Midsize Cars,10
Tesla,Model 3 Long Range AWD,133,122,Electric,Midsize Cars,10
Tesla,Model 3 Performance AWD,113,104,Electric,Midsize Cars,10
Tesla,Model Y Long Range RWD,134,117,Electric,Small SUV 2WD,10
Tesla,Model Y Long Range AWD,123,111,Electric,Small SUV 4WD,10
Tesla,Model Y Performance AWD,110,97,Electric,Small SUV 4WD,10
Tesla,Model S,132,116,Electric,Large Cars,10
Tesla,Model S Plaid (21in Wheels),97,89,Electric,Large Cars,10
Tesla,Model S Plaid (19in Wheels),108,99,Electric,Large Cars,10
Tesla,Model X,103,94,Electric,Standard SUV 4WD,10
Tesla,Model X Plaid (22in Wheels),92,84,Electric,Standard SUV 4WD,10
Tesla,Model X Plaid (20in Wheels),98,89,Electric,Standard SUV 4WD,10
Toyota,bZ4X,131,107,Electric,Small SUV 2WD,10
Toyota,bZ4X LIMITED AWD,112,92,Electric,Small SUV 4WD,10
Toyota,bZ4X LIMITED,121,102,Electric,Small SUV 2WD,10
Toyota,bZ4X AWD (18inch Wheels),114,94,Electric,Small SUV 4WD,10
Toyota,bZ4X AWD (20inch Wheels),112,92,Electric,Small SUV 4WD,10
Volkswagen Group of,ID.4 AWD Pro S,108,96,Electric,Small SUV 4WD,10
Volkswagen Group of,ID.4 Pro S,122,104,Electric,Small SUV 2WD,10
Volkswagen Group of,ID.4 AWD Pro,108,96,Electric,Small SUV 4WD,10
Volkswagen Group of,ID.4 Pro,122,104,Electric,Small SUV 2WD,10
Volkswagen Group of,ID.4 S,115,98,Electric,Small SUV 2WD,10
Volkswagen Group of,ID.4,115,98,Electric,Small SUV 2WD,10
Volkswagen Group of,ID. Buzz,90,75,Electric,"Special Purpose Vehicle, minivan 2WD",10
Volkswagen Group of,ID. Buzz 4Motion,87,74,Electric,"Special Purpose Vehicle, minivan 4WD",10
Volvo,EX90 Twin Motor Performance (21 Inch Wheels),86,82,Electric,Standard SUV 4WD,10
Volvo,EX90 Twin Motor (21 Inch Wheels),86,82,Electric,Standard SUV 4WD,10
Volvo,EX40 Twin,103,85,Electric,Small SUV 4WD,10
Volvo,EC40 Twin,105,88,Electric,Small SUV 4WD,10
Volvo,EX30 Twin Performance (19 Inch Wheels),116,100,Electric,Small SUV 4WD,10
Volvo,EX30 Single Motor extended range (18 Inch Wheels),124,103,Electric,Small SUV 2WD,10
Volvo,EX40,118,94,Electric,Small SUV 2WD,10
Volvo,EC40,118,95,Electric,Small SUV 2WD,10
Volvo,EX90 Twin Motor Performance 20 and 22 Inch Wheels,83,78,Electric,Standard SUV 4WD,10
Volvo,EX90 Twin Motor (20 and 22 Inch Wheels),83,78,Electric,Standard SUV 4WD,10
Volvo,EX30 Single Motor extended range(19_20 Inch Wheel),127,104,Electric,Small SUV 2WD,10
Volvo,EX30 Twin Performance (20 Inch Wheels),118,99,Electric,Small SUV 4WD,10
